"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
16,200,200,200,1,1.17836
25,200,200,200,1,2.00124
36,200,200,200,1,3.83111
49,200,200,200,1,5.66475
64,200,200,200,1,7.69809
81,200,200,200,1,10.0379
100,200,200,200,1,11.9374
124,200,200,200,1,12.3605
4,400,400,200,1,1.09336
9,400,400,200,1,1.18466
16,400,400,200,1,1.39217
25,400,400,200,1,2.44872
36,400,400,200,1,3.79859
49,400,400,200,1,5.70795
64,400,400,200,1,7.73778
81,400,400,200,1,11.4665
100,400,400,200,1,12.605
124,400,400,200,1,13.1421
4,100,100,200,1,0.544119
9,100,100,200,1,0.807098
16,100,100,200,1,1.39412
25,100,100,200,1,2.37032
36,100,100,200,1,3.76165
49,100,100,200,1,5.64422
64,100,100,200,1,7.4078
81,100,100,200,1,10.7072
100,100,100,200,1,12.24
124,100,100,200,1,12.9862
4,200,200,200,1,0.649622
9,200,200,200,1,1.0203
16,200,200,200,1,1.23984
25,200,200,200,1,2.21599
36,200,200,200,1,3.93364
49,200,200,200,1,5.48384
64,200,200,200,1,7.14498
81,200,200,200,1,10.3535
100,200,200,200,1,12.354
124,200,200,200,1,16.7073
4,400,400,200,1,1.27506
9,400,400,200,1,1.2391
16,400,400,200,1,1.59507
25,400,400,200,1,2.37174
36,400,400,200,1,4.08806
49,400,400,200,1,6.08757
64,400,400,200,1,7.83149
81,400,400,200,1,10.7337
100,400,400,200,1,13.5586
124,400,400,200,1,12.8243
4,100,100,200,1,0.488078
9,100,100,200,1,0.805792
16,100,100,200,1,1.18799
25,100,100,200,1,2.22981
36,100,100,200,1,3.68014
49,100,100,200,1,5.54627
64,100,100,200,1,7.09601
81,100,100,200,1,12.316
100,100,100,200,1,11.9614
124,100,100,200,1,13.0087
4,200,200,200,1,0.598638
9,200,200,200,1,0.950387
16,200,200,200,1,1.31534
25,200,200,200,1,1.99192
36,200,200,200,1,3.74859
49,200,200,200,1,5.37227
64,200,200,200,1,6.93293
81,200,200,200,1,10.9722
100,200,200,200,1,11.8408
124,200,200,200,1,12.3357
4,400,400,200,1,1.04386
9,400,400,200,1,1.16477
16,400,400,200,1,1.35566
25,400,400,200,1,2.15953
36,400,400,200,1,3.8307
49,400,400,200,1,5.74428
64,400,400,200,1,7.9264
81,400,400,200,1,11.0234
100,400,400,200,1,12.918
124,400,400,200,1,12.8644
4,100,100,200,1,0.507541
9,100,100,200,1,0.743743
16,100,100,200,1,1.23191
25,100,100,200,1,2.25133
36,100,100,200,1,3.8898
49,100,100,200,1,5.57579
64,100,100,200,1,6.92844
81,100,100,200,1,10.0748
100,100,100,200,1,12.4065
124,100,100,200,1,12.5307
4,200,200,200,1,0.611182
9,200,200,200,1,0.835892
16,200,200,200,1,1.40733
25,200,200,200,1,1.88643
36,200,200,200,1,3.6749
49,200,200,200,1,5.38067
64,200,200,200,1,7.16857
81,200,200,200,1,10.2494
100,200,200,200,1,12.3216
124,200,200,200,1,12.2246
4,400,400,200,1,1.03529
9,400,400,200,1,1.06062
16,400,400,200,1,1.36742
25,400,400,200,1,2.12747
36,400,400,200,1,3.48544
49,400,400,200,1,5.9342
64,400,400,200,1,7.90831
81,400,400,200,1,14.7208
100,400,400,200,1,12.3403
124,400,400,200,1,12.8401
4,100,100,200,1,0.551315
9,100,100,200,1,0.698746
16,100,100,200,1,1.31902
25,100,100,200,1,2.46457
36,100,100,200,1,3.86924
49,100,100,200,1,5.75482
64,100,100,200,1,6.99257
81,100,100,200,1,10.4674
100,100,100,200,1,12.0538
124,100,100,200,1,12.5816
4,200,200,200,1,0.600438
9,200,200,200,1,0.840688
16,200,200,200,1,1.24419
25,200,200,200,1,2.12954
36,200,200,200,1,3.82272
49,200,200,200,1,5.88753
64,200,200,200,1,7.60633
81,200,200,200,1,10.4082
100,200,200,200,1,12.453
124,200,200,200,1,12.1785
4,400,400,200,1,1.05771
9,400,400,200,1,1.06275
16,400,400,200,1,1.25068
25,400,400,200,1,2.15748
36,400,400,200,1,3.62844
49,400,400,200,1,5.42902
64,400,400,200,1,7.59663
81,400,400,200,1,10.7219
100,400,400,200,1,12.2678
124,400,400,200,1,12.6592
4,100,100,200,1,0.472119
9,100,100,200,1,0.713389
16,100,100,200,1,1.23761
25,100,100,200,1,2.34341
36,100,100,200,1,3.87183
49,100,100,200,1,5.77378
64,100,100,200,1,7.45655
81,100,100,200,1,10.4909
100,100,100,200,1,12.2297
124,100,100,200,1,12.071
4,200,200,200,1,0.593138
9,200,200,200,1,0.843853
16,200,200,200,1,1.42424
25,200,200,200,1,2.11828
36,200,200,200,1,4.0238
49,200,200,200,1,5.61347
64,200,200,200,1,7.15839
81,200,200,200,1,10.7723
100,200,200,200,1,12.3253
124,200,200,200,1,12.1141
4,400,400,200,1,1.08913
9,400,400,200,1,1.12545
16,400,400,200,1,1.44241
25,400,400,200,1,2.75271
36,400,400,200,1,5.13696
