"# info about this run				",,,,,
nodes,width,height,iterations,periodic,time
8,5000,5000,50,1,14.8966
8,5000,5000,50,1,15.4238
8,10000,10000,50,1,60.0183
8,10000,10000,50,1,61.8335
8,1000,1000,50,1,1.03331
8,1000,1000,50,1,0.736255
8,2000,2000,50,1,2.42798
8,2000,2000,50,1,2.46623
8,5000,5000,50,1,14.5194
8,5000,5000,50,1,14.8352
8,10000,10000,50,1,57.9738
8,10000,10000,50,1,58.1347
8,1000,1000,50,1,0.834294
8,1000,1000,50,1,0.750312
8,2000,2000,50,1,2.48883
8,2000,2000,50,1,2.47254
8,5000,5000,50,1,16.1925
8,5000,5000,50,1,18.9193
8,10000,10000,50,1,60.1215
8,10000,10000,50,1,60.6456
8,1000,1000,50,1,0.875584
8,1000,1000,50,1,0.73464
8,2000,2000,50,1,2.43584
8,2000,2000,50,1,2.50415
8,5000,5000,50,1,15.0284
8,5000,5000,50,1,15.2881
8,10000,10000,50,1,58.6831
8,10000,10000,50,1,58.5546
8,1000,1000,50,1,0.731472
8,1000,1000,50,1,0.718408
8,2000,2000,50,1,2.39119
8,2000,2000,50,1,2.47489
8,5000,5000,50,1,15.4014
8,5000,5000,50,1,14.5799
8,10000,10000,50,1,61.9944
8,10000,10000,50,1,60.6264
